"N_CODE","Shape.Area","Dwellings","Households","Population","Area..sq.km.","North.American.Aboriginal.origins","European.origins","West.Central.Asian.and.Middle.Eastern.origins","South.Asian.origins","East.and.Southeast.Asian.origins","Latin..Central.and.South.American.origins","African.origins","Total...Ethnic.origin.for.the.population.in.private.households...25perc.sample.data","English","Aboriginal.languages","Chinese.languages","Punjabi..Panjabi.","Hindi","Tagalog..Pilipino..Filipino.","English.and.non.official.language","Non.immigrants","Non.permanent.residents","Immigrants","Americas","Europe","Africa","Asia","Oceania.and.other.places.of.birth","Median.total.income.of.households.in.2015..dollar.","Number.of.government.transfers.recipients.aged.15.years.and.over.in.private.households...100perc.data","Median.government.transfers.in.2015.among.recipients..dollar.","Number.of.total.income.recipients.aged.15.years.and.over.in.private.households...100perc.data","Number.of.Male.income.recipients.aged.15.years.and.over.in.private.households...100perc.data","Number.of.Female.income.recipients.aged.15.years.and.over.in.private.households...100perc.data","Median.total.income.in.2015.among.recipients..dollar.","Median.Male.income.in.2015.among.recipients..dollar.","Median.Female.income.in.2015.among.recipients..dollar.","Government.transfers..percent.","Median.total.income.of.couple.economic.families.with.children.in.2015..dollar.","Median.total.income.of.couple.economic.families.without.children.or.other.relatives.in.2015..dollar.","Median.total.income.of.lone.parent.economic.families.in.2015..dollar.","In.the.bottom.decile","Total.private.dwellings","Private.dwellings.occupied.by.usual.residents","Population.density.per.square.kilometre","Population..2011","Average.number.of.rooms.per.dwelling","Spending.30perc.or.more.of.income.on.shelter.costs","percent.of.owner.households.spending.30perc.or.more.of.its.income.on.shelter.costs","Median.monthly.shelter.costs.for.owned.dwellings..dollar.","Average.monthly.shelter.costs.for.owned.dwellings..dollar.","Median.value.of.dwellings..dollar.","Average.value.of.dwellings..dollar.","percent.of.tenant.households.spending.30perc.or.more.of.its.income.on.shelter.costs","Median.monthly.shelter.costs.for.rented.dwellings..dollar.","Total...Private.households.by.tenure...25perc.sample.data","Owner","Renter","Average.monthly.shelter.costs.for.rented.dwellings..dollar.","In.the.labour.force.Total","In.the.labour.force.Male","In.the.labour.force.Female","Employment.rate.Total","Employment.rate.Male","Employment.rate.Female","Unemployment.rate.Total","Unemployment.rate.Male","Unemployment.rate.Female","Not.in.the.labour.force.Total","Not.in.the.labour.force.Male","Not.in.the.labour.force.Female","commuteDuration.25perc.data","X60.minutes.and.over","Public.transit","X0.Management.occupations","X1.Business..finance.and.administration.occupations","X2.Natural.and.applied.sciences.and.related.occupations","X3.Health.occupations","X4.Occupations.in.education..law.and.social..community.and.government.services","X5.Occupations.in.art..culture..recreation.and.sport","X6.Sales.and.service.occupations","X7.Trades..transport.and.equipment.operators.and.related.occupations","X8.Natural.resources..agriculture.and.related.production.occupations","X9.Occupations.in.manufacturing.and.utilities","Total.number.of.census.families.in.private.households...100perc.data","Total.couple.families","Total.lone.parent.families.by.sex.of.parent","Female.parent","Male.parent","Couples.without.children","Couples.with.children","Average.size.of.census.families","Married","economicFamilies","abor_orig_perc","euro_orig_perc","W.CAsia.mideast_orig_perc","SAsia_orig_perc","E.SeAsia_orig_perc","lat.C.SAmer_orig_perc","afri_orig_perc","english_lang_perc","abor_lang_perc","chinese_lang_perc","punjabi_lang_perc","hindi_lang_perc","tagalog_lang_perc","englishAndOther_lang_perc","immigrants_perc","nonimmigrants_perc","nonPermRes_perc","amer_perc.immig","euro_perc.immig","afri_perc.immig","asia_perc.immig","oceaAndOther_perc.immig","incomeRecip_perc","govtTransRecip_perc","incomRecip_MF_ratio","bottomDec_perc.EconFam","occupied_perc.privDwellings","renterOwner_ratio","inLabourForce_perc","labourForce_MF_ratio","notLabourForce_MF_ratio","empRate_MF_ratio","unempRate_MF_ratio","transit_perc.emp","occup_all","management_perc.occup","busi.finance_perc.occup","science_perc.occup","health_perc.occup","edu.law.social.govt_perc.occup","art.rec.culture.sport_perc.occup","sales.service_perc.occup","trades.transport_perc.occup","natResources.agriculture_perc.occup","manufacture.util_perc.occup","coupleWChild_perc.cenFam","loneParentM_perc.cenFam","loneParentF_perc.cenFam","loneParent_perc.cenFam","married_perc.cenFam","couple_WWoChild_ratio","loneParent_MF_ratio","other_orig_perc"
"N3601",6.00482,13639,12516,28334,6.00482,1200,10595,1280,4020,8530,805,1065,27045,12955,15,2605,1780,640,1810,1145,13535,1180,12360,945,1385,715,8825,475,51632.741690636,16895,2768.12015389168,22370,11500,10865,27422.3770675011,31811.8939130435,23688.9171652094,13.8154000894055,78092.9592592593,64892.1841155235,40394.3103448276,5255,13639,12516,174637.6,0,3.99688393577242,4620,29.4398728428701,1200.05814209253,1199.1299215485,307801.057775497,372302.404061881,42.648743718593,927.077644988635,12475,5505,6965,961.625119143632,15980,8570,7395,63.7786295369212,66.8415402567095,60.7507099391481,7.98213391739675,7.34276546091015,8.32785665990534,7520,3560,3960,691.466074525416,2965,5000,1055,2385,1085,1095,1180,375,4380,2835,170,900,6915,5470,41760,1225,215,2770,2700,2.77924801156905,9310,6775,0.0423519446601256,0.373932378061693,0.0451754076374674,0.141879014611421,0.30105173995906,0.028411096209501,0.0375873508858615,0.457224535893273,0.000529399308251571,0.0919390131996894,0.062822051245853,0.0225877038187337,0.0638808498623562,0.0404108138632032,0.436225029999294,0.477694642479001,0.0416460789157902,0.0764563106796116,0.11205501618123,0.0578478964401294,0.713996763754045,0.0384304207119741,0.789510835039176,0.596280087527352,1.05844454670962,0.775645756457565,0.917662585233522,1.26521344232516,0.563986729724007,1.15889114266396,0.898989898989899,1.1002594097034,0.881711316701939,0.00490589271303226,278185,0.00379244028254579,0.00857343134964143,0.00390028218631486,0.00393622948757122,0.00424178154825027,0.00134802379711343,0.0157449179502849,0.0101910599061775,0.000611104121358089,0.00323525711307224,0.390455531453362,0.0310918293564714,0.177151120751988,0.20824295010846,0.673174258857556,0.974729241877256,0.175510204081633,0.0296110679748705
"N3602",5.12413,10856,10005,19952,5.12413,645,14850,245,1000,1785,190,190,19120,15290,15,890,390,40,130,245,14090,155,4905,530,2390,200,1670,95,66027.1745127436,12165,9222.58898479244,16915,7610,9295,38324.5947383979,46786.982260184,33187.8310919849,13.3572273130358,130865.263157895,91108.9190082645,30405.4857142857,1935,10856,10005,181103.1,0,5.47717391304348,3125,22.3391782831988,1036.91433308769,1356.33962785556,766865.789148858,869409.039425203,48.0065015479876,1111.27745025792,9990,6815,3230,1213.49290714812,9440,4645,4810,52.9924788135593,57.2689989235737,49.7901247401247,6.10190677966102,5.91937567276642,5.92172557172557,7910,3205,4730,240.825343978699,955,535,1305,1790,525,725,1050,535,2060,1030,130,140,5325,4570,28525,635,180,3025,1520,2.54732394366197,8165,5265,0.0323275862068966,0.744286287089014,0.0122794707297514,0.0501202886928629,0.0894647153167602,0.00952285485164395,0.00952285485164395,0.766339214113873,0.000751804330392943,0.044607056936648,0.0195469125902165,0.00200481154771451,0.00651563753007217,0.0122794707297514,0.245840016038492,0.706194867682438,0.00776864474739374,0.108053007135576,0.487257900101937,0.0407747196738022,0.340468909276249,0.0193679918450561,0.847784683239776,0.609713311948677,0.818719741796665,0.367521367521368,0.921610169491525,0.473954512105649,0.473135525260626,0.965696465696466,0.677589852008457,1.15020798245605,0.999603173275984,0.00106946740523219,278185,0.00469112281395474,0.00643456692488811,0.0018872333159588,0.00260617934108597,0.00377446663191761,0.00192318061721516,0.00740514405880978,0.00370257202940489,0.000467314916332656,0.000503262217589014,0.285446009389671,0.0338028169014084,0.11924882629108,0.153051643192488,0.766666666666667,0.502479338842975,0.283464566929134,0.052475942261427
"N3603",8.46483,7498,6923,22440,8.46483,430,8015,530,8535,4010,445,520,21990,11100,0,850,4425,730,970,1000,12370,250,9360,575,1025,430,6860,470,96094.8136645963,10510,2958.58039961941,16055,7745,8300,37999.8617253192,47184.0890897353,30356.6,8.44450327000934,114936.819060773,92591.4565217391,55751.3846153846,1455,7498,6923,59369.3,0,6.56705788210189,1815,25.266112084063,1844.51800480128,1875.88103494265,593856.503334222,664541.951053614,27.6872427983539,859.932515337423,6950,5710,1215,1013.31861829821,12375,6325,6035,69.4700202020202,74.2813438735178,65.2526926263463,5.19753535353535,4.57501976284585,5.56470588235294,4660,1870,2795,1452.53035827387,1660,1320,1560,2020,815,955,1410,340,2610,1910,155,420,6250,5465,10530,670,140,1840,3620,3.12024,10400,5770,0.0191622103386809,0.357174688057041,0.0236185383244207,0.380347593582888,0.178698752228164,0.0198306595365419,0.0231729055258467,0.494652406417112,0,0.0378787878787879,0.197192513368984,0.0325311942959002,0.0432263814616756,0.0445632798573975,0.417112299465241,0.551247771836007,0.0111408199643494,0.0614316239316239,0.109508547008547,0.0459401709401709,0.732905982905983,0.0502136752136752,0.715463458110517,0.468360071301248,0.933132530120482,0.252166377816291,0.923312883435583,0.212784588441331,0.551470588235294,1.04805302402651,0.669051878354204,1.13836442426785,0.822149428841221,0.0015354345134272,278185,0.00560777899599188,0.00726135485378435,0.00292970505239319,0.00343296726998221,0.0050685694771465,0.00122220824271618,0.00938224562790948,0.00686593453996441,0.000557183169473552,0.00150978665276704,0.5792,0.0224,0.1072,0.1296,0.832,1.96739130434783,0.208955223880597,-0.00200534759358327
"N3604",16.57422,8280,7868,21900,16.57422,485,14520,320,1085,4940,200,210,21545,15065,0,3635,465,75,80,265,14290,300,6900,590,1925,250,4060,80,104356.770081342,11170,5421.5975828111,17270,8295,9010,40163.050955414,53836.611814346,32107.8784683685,7.29131441806601,146732.867981791,111297.297989031,12444.4444444444,2225,8280,7868,64505.8,0,8.10795893719807,2040,23.3315018315018,1441.66219806763,2004.56014492754,1485527.46666667,1594014.26582126,21.7668341708543,329.445410628019,7790,6825,995,481.488526570048,10190,5410,4765,54.6910696761531,60.413123844732,50.0057712486884,5.35755642787046,4.06876155268022,5.65729275970619,7885,3240,4620,290.904751822172,1085,570,1970,1635,785,830,1340,435,2005,770,160,145,6700,6020,23940,555,110,2735,3295,2.96679104477612,11540,6520,0.0221461187214612,0.663013698630137,0.0146118721461187,0.0495433789954338,0.225570776255708,0.0091324200913242,0.00958904109589041,0.687899543378995,0,0.165981735159817,0.0212328767123288,0.00342465753424658,0.00365296803652968,0.0121004566210046,0.315068493150685,0.652511415525114,0.0136986301369863,0.0855072463768116,0.278985507246377,0.036231884057971,0.588405797101449,0.0115942028985507,0.788584474885845,0.510045662100457,0.920643729189789,0.341257668711656,0.95024154589372,0.145787545787546,0.465296803652968,1.13536201469045,0.701298701298701,1.20812302932567,0.719206469507781,0.00102278477378513,278185,0.00708161834750256,0.00587738375541456,0.00282186314862412,0.00298362600427773,0.004816938368352,0.00156370760465158,0.00720743390189981,0.00276794219673958,0.000575156820101731,0.000521235868217194,0.491791044776119,0.0164179104477612,0.0828358208955224,0.0992537313432836,0.861194029850746,1.20475319926874,0.198198198198198,0.00639269406392661
"N3605",93.91051,6780,6093,17713,93.91051,535,10630,160,2735,3005,235,250,17300,11695,0,1935,1685,50,100,370,11740,300,5270,385,1330,155,3325,80,97046.4431314623,8865,4422.59503666103,13545,6635,6895,38356.0911775563,49230.8583270535,31296.6214648296,8.64806201550388,130405.365656566,98104.0733944954,25541,1765,6780,6093,10029.9,0,7.33066371681416,1735,24.869610935857,1568.67389380531,1849.11445427729,1057273.4640118,1196944.90988201,37.9773722627737,1502.90221238938,6110,4755,1370,1564.02536873156,9250,4845,4405,61.9227567567568,67.6573787409701,56.6872871736663,4.96697297297297,4.20866873065015,5.5566401816118,5070,2115,2945,881.776192833094,1030,425,1695,1550,485,540,1015,270,2015,1120,195,210,5280,4630,10965,500,145,2180,2475,2.89810606060606,8685,4900,0.0302038051148874,0.600124202563089,0.00903291367921865,0.154406368204144,0.169649410037825,0.0132670919663524,0.0141139276237791,0.660249534240388,0,0.109241799808051,0.0951278721842714,0.00282278552475583,0.00564557104951166,0.0208886128831931,0.297521594309264,0.662790041212669,0.016936713148535,0.0730550284629981,0.252371916508539,0.0294117647058824,0.630929791271347,0.015180265654649,0.764692598656354,0.500479873539209,0.962291515591008,0.360204081632653,0.898672566371681,0.288117770767613,0.522215322079828,1.09988649262202,0.718166383701188,1.19351943115034,0.75741249983715,0.00074198805661107,278185,0.00609306756295271,0.00557183169473552,0.00174344411093337,0.00194115426784334,0.00364865107752036,0.000970577133921671,0.00724338120315617,0.00402609774071212,0.000700972374498984,0.000754893326383522,0.46875,0.0274621212121212,0.0946969696969697,0.122159090909091,0.822443181818182,1.13532110091743,0.29,0.00920228081070449
"N3606",14.81261,10463,9998,29205,14.81261,1475,19875,255,4075,2455,585,445,29010,22070,0,475,2640,225,325,645,22770,165,6075,560,1705,285,3310,205,96243.8931786357,14670,4603.85207907294,22420,10970,11500,38644.494647636,49814.7725615314,30874.67,10.1921498661909,128286.073856975,88209.2177554439,27492.8,1510,10463,9998,116719.4,0,7.20309662620663,2090,16.3814054726368,1556.4633470324,1559.52269903469,675070.198126732,687931.701806365,25.7276649746193,670.464589505878,9990,8040,1970,807.728280607856,16400,8540,7895,67.2142378048781,71.901756440281,63.1750474984167,4.84045731707317,4.90667447306792,4.81260291323623,7025,2880,4120,545.875129897257,1685,855,1850,2620,805,930,1810,360,3830,3200,210,530,8425,7240,46200,895,260,2985,4265,3.02385756676558,13000,7945,0.0505050505050505,0.680534155110426,0.00873138161273754,0.139530902242767,0.0840609484677281,0.0200308166409861,0.0152371169320322,0.755692518404383,0,0.0162643382982366,0.0903954802259887,0.00770416024653313,0.0111282314672145,0.022085259373395,0.208012326656394,0.779661016949153,0.00564971751412429,0.0921810699588477,0.280658436213992,0.0469135802469136,0.544855967078189,0.0337448559670782,0.767676767676768,0.50231124807396,0.953913043478261,0.190056639395846,0.955557679441843,0.245024875621891,0.561547680191748,1.08169727675744,0.699029126213592,1.13813537602933,1.01954691910545,0.000775641412356829,278185,0.00665025073242626,0.00941819292916584,0.00289375775113683,0.00334309901684131,0.00650646152740083,0.00129410284522889,0.0137678163811852,0.0115031364020346,0.000754893326383522,0.00190520696658698,0.506231454005935,0.0308605341246291,0.106231454005935,0.137091988130564,0.771513353115727,1.42881072026801,0.290502793296089,0.00136962848827249
"N3607",12.98688,5039,4886,15024,12.98688,555,9385,175,2065,2750,215,350,15070,10625,5,525,955,130,400,425,10745,155,4175,370,1010,205,2470,130,105078.938804748,7100,4891.77464788732,11245,5355,5890,41606.324144064,53490.3968253968,32843.0721561969,8.85384615384615,128057.893617021,95301.4857142857,51278.7692307692,690,5039,4886,42673.2,0,7.43949196269101,765,14.5735491071429,1577.12065886088,1616.28954157571,641314.572931137,671279.979559436,17.6505882352941,748.385393927367,4900,4480,425,871.703314149633,8485,4310,4180,69.4308780200354,73.5568445475638,65.5576555023924,4.77295226870949,4.87807424593967,4.77547846889952,3330,1345,1995,929.82674611837,1030,595,1070,1535,460,585,920,235,1950,1190,115,265,4430,3920,6695,425,90,1575,2350,3.05869074492099,7255,4215,0.0369408945686901,0.62466719914803,0.0116480298189563,0.137446751863685,0.1830404685836,0.0143104366347178,0.0232960596379127,0.707201810436635,0.000332800851970181,0.034944089456869,0.0635649627263046,0.00865282215122471,0.0266240681576145,0.0282880724174654,0.277888711395101,0.715189030883919,0.0103168264110756,0.088622754491018,0.241916167664671,0.0491017964071856,0.591616766467066,0.0311377245508982,0.748469116080937,0.472577209797657,0.909168081494058,0.163701067615658,0.969636832704902,0.0948660714285714,0.564763045793397,1.0311004784689,0.674185463659148,1.12201761920665,1.02148387385857,0.00100997927420683,278185,0.00384636123443032,0.00551791074285098,0.00165357585779248,0.00210291712349695,0.00330715171558495,0.000844761579524417,0.00700972374498984,0.00427772884950662,0.000413393964448119,0.000952603483293492,0.530474040632054,0.0203160270880361,0.0959367945823928,0.116252821670429,0.818848758465011,1.49206349206349,0.211764705882353,-0.0313498402555919
"N3608",8.18004,10264,9623,32676,8.18004,775,9370,935,12350,8345,495,440,32870,12895,10,2460,7775,975,1330,1495,16550,530,15810,615,1220,255,13015,635,83284.5153278603,18070,3306.64471499723,24890,12230,12655,28110.101446364,34590.7440719542,23422.6633741604,12.8385897950984,107072.878192534,70524.4915572233,36757.3333333333,2760,10264,9623,175432.8,0,6.59897700701481,2575,23.4219891745602,1696.64633671083,1648.64117303196,691346.535561185,740936.168160561,28.9329896907216,699.311282151208,9790,7390,2425,862.975643024162,17555,9175,8395,61.6598689831957,65.8083378746594,58.2105419892793,6.17749928795215,6.92871934604905,6.25604526503871,9215,3930,5270,441.548202716273,2550,2270,1320,2510,945,1200,1475,360,4410,3525,430,950,9050,7785,54390,1030,265,2665,5090,3.1639226519337,15190,8030,0.0237177133064023,0.286754804749663,0.0286142734728853,0.37795323785041,0.255386216183131,0.0151487330150569,0.0134655404578284,0.394632145917493,0.00030603501040519,0.0752846125596768,0.237942220590036,0.0298384135145061,0.0407026563838903,0.045752234055576,0.483841351450606,0.50648794222059,0.0162198555514751,0.038899430740038,0.0771663504111322,0.0161290322580645,0.823213156230234,0.0401644528779254,0.761721140898519,0.553005263802179,0.966416436191229,0.343711083437111,0.937548713951676,0.328146143437077,0.537244460766312,1.09291244788565,0.74573055028463,1.13052267898106,1.10752385133297,0.00209711586518963,278185,0.00474504376583928,0.0090227726153459,0.00339701996872585,0.00431367615076298,0.00530222693531283,0.00129410284522889,0.015852759854054,0.0126714236928663,0.0015457339540234,0.00341499361935403,0.562430939226519,0.0292817679558011,0.113812154696133,0.143093922651934,0.839226519337017,1.90994371482176,0.257281553398058,-0.00104051903537682
"N3609",6.56115,8024,7680,24846,6.56115,590,8185,675,5515,8445,330,290,23730,10655,0,2215,3450,530,1635,1130,11970,390,11375,390,1350,260,9050,300,85524.7598958333,13615,3242.93352919574,19215,9310,9905,30263.2274264897,37311.1433941998,25132.9298334175,11.5323445225085,111941.353626943,76639.5492957746,42955.4285714286,1970,8024,7680,114300.6,0,6.58286390827517,1975,23.2243739565943,1449.4666001994,1519.01645064806,641373.042996012,681062.385219342,31.5657051282051,858.788634097707,7570,5990,1560,1013.71223828514,13205,6840,6370,63.4576675501704,67.2195906432749,60.065306122449,6.66467247254828,6.87412280701754,6.60494505494505,6550,2795,3740,506.421242818111,1945,1925,1005,1980,775,985,1215,230,3690,2135,260,645,6940,6000,28700,810,215,2130,3860,3.11080691642651,11565,6350,0.0237462770667311,0.329429284391854,0.0271673508814296,0.221967318683088,0.339893745472108,0.0132818159864767,0.0116718988972068,0.42884166465427,0,0.0891491588183209,0.138855348949529,0.0213314014328262,0.0658053610239073,0.0454801577718748,0.457820172261129,0.481767688964018,0.0156966916203816,0.0342857142857143,0.118681318681319,0.0228571428571429,0.795604395604396,0.0263736263736264,0.773363921758029,0.547975529260243,0.939929328621908,0.310236220472441,0.957128614157527,0.260434056761269,0.531473879095227,1.07378335949765,0.747326203208556,1.1191084335147,1.04075397294501,0.00229724980413708,278185,0.003612703776264,0.00711756564875892,0.00278591584736776,0.00354080917375128,0.00436759710264752,0.000826787928896238,0.0132645541635962,0.00767474881823247,0.000934629832665313,0.0023186009310351,0.556195965417867,0.0309798270893372,0.11671469740634,0.147694524495677,0.83321325648415,1.81220657276995,0.265432098765432,0.0328423086211059
"N3610",34.42516,6776,6373,21936,34.42516,520,8225,475,3120,9540,170,280,21915,9885,5,4905,1520,180,415,595,11140,325,10465,400,1250,250,8520,110,99153.9141691511,11515,2014.07207989579,17005,8435,8575,29649.0820346957,36810.6662714878,23795.27696793,8.36924433990003,119536.798920378,86063.0687830688,24076,2585,6776,6373,70987.1,0,8.05910566706021,1840,28.268022181146,1770.53630460449,1807.90097402597,1021129.11511216,1087306.28158205,23.4546391752577,585.191558441558,6390,5410,970,847.645070838253,11600,6185,5410,60.6540948275862,66.3278900565885,55.8349353049908,5.33900862068965,5.08407437348424,5.82042513863216,6555,2755,3810,370.382575017322,1250,1195,1685,1885,925,745,1025,305,2890,1435,165,320,6310,5535,24800,605,170,1890,3705,3.19215530903328,10760,5780,0.0237053245805981,0.374954412837345,0.0216539022611233,0.142231947483589,0.434901531728665,0.00774981765134938,0.012764405543399,0.450629102844639,0.000227935813274982,0.223605032822757,0.0692924872355945,0.00820568927789934,0.0189186725018235,0.0271243617797228,0.477069657184537,0.507840991976659,0.0148158278628738,0.0382226469182991,0.119445771619685,0.0238891543239369,0.814142379359771,0.0105112279025323,0.775209700948213,0.524936177972283,0.983673469387755,0.447231833910035,0.940525383707202,0.179297597042514,0.528811086797958,1.14325323475046,0.723097112860892,1.1879281258997,0.873488491371445,0.00169843836054506,278185,0.00605712026169635,0.00677606628682352,0.00332512536621313,0.00267807394359868,0.00368459837877671,0.00109639268831892,0.0103887700630875,0.0051584377302874,0.00059313047072991,0.00115031364020346,0.58716323296355,0.0269413629160063,0.0958795562599049,0.122820919175911,0.852614896988906,1.96031746031746,0.28099173553719,-0.0179613420860689
