,N_CODE,editot_2,editot_3,editot_4,editot_5,editot_6,edival_2,edival_3,edival_4,edival_5,edival_6,PCTPHYRI_2,PCTPHYRI_3,PCTPHYRI_4,PCTPHYRI_5,PCTPHYRI_6,PCTSOCRI_2,PCTSOCRI_3,PCTSOCRI_4,PCTSOCRI_5,PCTSOCRI_6,PCTEMORI_2,PCTEMORI_3,PCTEMORI_4,PCTEMORI_5,PCTEMORI_6,PCTLANRI_2,PCTLANRI_3,PCTLANRI_4,PCTLANRI_5,PCTLANRI_6,PCTCOMRI_2,PCTCOMRI_3,PCTCOMRI_4,PCTCOMRI_5,PCTCOMRI_6,PCTEVERR_2,PCTEVERR_3,PCTEVERR_4,PCTEVERR_5,PCTEVERR_6,PCTEVER4_2,PCTEVER4_3,PCTEVER4_4,PCTEVER4_5,PCTEVER4_6,label_2t,label_2u,label_3t,label_3u,label_4t,label_4u,label_5t,label_5u,label_6t,label_6u,label_awt,label_awu
0,N3602,103,86,88,94,110,102,83,88,94,109,17,4,10,11,6,15,18,11,15,14,11,10,10,16,11,5,6,6,3,3,9,8,8,6,7,27,30,25,27,21,25,27,23,26,19,1,0,1,1,1,2,0,1,1,2,0,1
1,N3604,161,171,159,193,161,158,166,159,192,160,5,2,10,8,7,8,3,7,8,8,6,5,8,11,7,3,2,1,4,4,6,4,6,9,8,14,11,17,23,19,13,8,16,21,15,0,1,1,2,1,2,0,1,1,2,3,1
2,N3605,51,44,59,78,107,51,43,59,78,107,10,7,8,13,13,12,12,7,24,17,8,7,14,13,19,14,12,10,8,7,14,7,14,18,9,27,21,22,35,31,22,19,17,29,29,1,0,2,1,1,1,1,0,2,1,4,2
3,N3622,149,151,138,170,185,147,150,138,170,184,8,4,4,11,9,10,10,9,17,14,8,12,10,14,13,11,7,6,8,5,5,7,10,12,10,22,21,20,30,26,20,21,16,26,22,1,1,1,1,1,1,2,2,1,2,0,1
4,N3608,232,325,313,371,374,224,315,312,370,373,13,9,13,12,16,15,11,17,15,19,14,10,11,12,17,14,13,11,9,13,17,10,13,15,23,31,25,33,31,38,26,23,28,25,31,1,0,2,1,0,0,2,2,0,0,1,2
5,N3609,224,247,271,297,271,217,238,271,295,270,8,12,14,16,17,8,12,18,18,17,8,11,15,13,15,7,8,8,11,11,12,11,18,18,21,24,24,34,35,36,19,21,29,29,29,0,1,2,1,0,0,1,0,0,0,1,2
6,N3610,162,155,157,180,132,161,155,157,179,131,6,4,14,11,11,9,5,19,16,10,8,3,13,14,8,2,6,6,7,7,11,9,19,13,14,21,14,38,28,25,17,10,31,24,20,0,1,1,2,0,0,2,2,1,2,0,1
7,N3601,158,151,132,164,172,153,145,132,163,171,17,23,23,12,16,18,19,27,14,23,18,16,20,14,18,22,17,14,6,13,21,14,18,12,21,42,37,40,31,39,38,35,39,26,32,2,2,0,0,2,0,2,2,0,0,2,0
8,N3613,170,180,166,173,181,166,170,166,173,180,11,11,17,16,17,14,13,14,10,15,10,11,12,11,13,16,9,11,8,12,23,10,22,17,19,33,24,34,30,33,27,22,26,23,28,2,2,2,1,2,0,2,2,0,0,1,2
9,N3618,340,289,298,279,278,329,275,298,277,274,10,20,18,22,19,16,16,16,22,18,15,18,13,13,16,15,20,16,18,15,26,19,21,25,24,40,40,38,45,39,31,35,32,40,34,2,2,0,0,2,0,1,0,0,0,5,3
10,N3619,132,157,142,147,139,130,150,141,147,137,10,7,18,10,12,9,11,16,10,15,7,6,13,9,9,10,9,12,11,15,17,12,17,21,13,25,24,32,29,31,18,17,26,20,27,0,0,2,1,2,0,2,2,1,2,1,2
11,N3603,88,111,160,206,268,87,110,160,206,268,7,4,8,6,9,9,6,8,9,11,9,7,6,6,9,10,5,4,4,8,16,5,6,12,8,25,14,18,22,19,23,13,17,16,18,0,0,1,2,1,2,0,1,1,2,3,1
12,N3616,167,194,215,194,226,159,185,215,194,225,15,15,21,26,24,11,16,21,23,20,14,10,16,21,21,13,14,12,15,18,12,21,26,25,25,35,36,46,50,47,30,29,37,40,39,1,0,0,0,2,0,1,0,0,0,2,0
13,N3617,290,310,320,311,312,282,287,319,310,310,9,15,12,19,17,17,15,16,25,17,12,11,13,19,21,19,15,13,14,10,20,17,17,23,15,40,31,33,42,36,32,28,27,37,34,2,2,0,0,0,0,1,0,2,1,5,3
14,N3624,184,176,183,179,187,184,173,181,179,187,8,12,15,10,11,12,8,8,20,13,9,9,10,17,13,19,9,14,15,11,16,10,17,18,13,33,27,29,37,29,27,24,27,31,24,1,0,2,1,1,1,1,0,1,2,4,2
15,N3611,206,172,165,170,168,193,168,165,170,168,13,14,14,16,15,12,8,8,15,20,10,11,8,14,15,13,6,6,11,10,16,17,16,21,15,26,30,33,36,33,23,23,22,26,29,1,0,2,1,1,1,1,0,2,1,4,2
16,N3621,86,97,106,136,114,85,96,106,136,114,2,4,4,13,10,5,4,6,11,17,4,4,7,14,13,2,3,2,6,1,4,4,3,13,16,9,10,15,32,32,6,8,13,25,24,0,1,1,2,1,2,2,2,1,2,3,1
17,N3614,299,304,309,286,294,282,296,308,281,294,18,15,16,17,13,16,16,17,18,24,16,17,12,15,15,17,17,14,13,18,26,28,24,25,22,38,44,39,39,40,30,34,30,32,34,2,2,0,0,2,0,1,0,0,0,5,3
18,N3615,248,263,277,221,242,241,256,276,221,240,13,8,12,14,15,13,10,19,19,19,8,8,15,11,20,10,8,12,17,14,20,18,23,28,16,31,27,38,41,35,23,17,30,30,32,1,0,2,1,2,0,1,0,2,1,1,2
19,N3623,162,177,193,188,178,155,170,193,188,178,17,18,21,21,25,14,26,21,27,28,14,22,19,17,20,10,18,12,14,22,14,18,22,23,30,38,40,45,43,51,32,37,37,37,44,1,0,0,0,2,0,1,0,0,0,2,0
20,N3606,264,331,310,367,363,260,326,308,365,362,7,8,9,12,16,13,10,20,15,16,9,7,11,12,16,9,11,5,8,7,9,11,9,10,11,26,22,30,27,28,22,19,29,25,27,1,1,2,1,0,0,2,2,2,1,0,1
21,N3612,188,179,132,190,167,181,174,131,189,167,12,24,21,16,26,16,20,18,15,20,14,24,14,15,19,8,15,15,11,16,9,20,22,14,21,31,46,43,37,40,28,41,37,32,36,1,0,0,0,2,0,1,0,0,0,2,0
22,N3607,101,137,142,181,172,99,136,142,178,170,3,7,8,11,18,9,7,8,18,20,10,11,9,19,24,6,10,8,5,12,6,6,13,10,18,20,22,18,34,35,17,21,15,31,31,0,1,1,1,1,1,0,1,2,1,0,1
23,N3620,56,106,170,203,281,55,103,170,202,281,15,19,8,10,10,7,6,8,13,15,6,6,11,13,16,2,9,5,4,8,13,5,5,8,14,24,29,17,26,31,20,28,17,23,25,0,1,2,1,1,2,0,1,1,2,0,1
